ROUTE,total_flights,delayed_flights,delay_rate,IS_TOP10
BZN - MSP,707,66.0,9.335219,False
CAE - ATL,1097,74.0,6.74567,False
CAK - ATL,1444,122.0,8.448753,False
CHA - ATL,864,89.0,10.300926,False
CHS - ATL,3464,266.0,7.678984,False
CLE - ATL,2473,187.0,7.5616655,False
CLT - ATL,3972,544.0,13.695871,False
CLT - DTW,1317,149.0,11.313591,False
CLT - MSP,884,88.0,9.954751,False
CMH - ATL,2776,305.0,10.987032,False
CVG - ATL,2417,285.0,11.791477,False
CVG - LAX,578,53.0,9.16955,False
CVG - MCO,653,64.0,9.80092,False
CVG - SLC,578,39.0,6.7474046,False
DAB - ATL,1598,169.0,10.57572,False
DAL - ATL,1553,178.0,11.461687,False
DAY - ATL,1416,160.0,11.299435,False
DCA - ATL,4933,717.0,14.534765,False
DCA - DTW,1805,297.0,16.454294,False
DCA - MSP,1812,274.0,15.121412,False
DCA - SLC,683,82.0,12.0058565,False
DEN - ATL,2691,366.0,13.600892,False
DEN - DTW,1157,156.0,13.483146,False
DEN - JFK,554,97.0,17.509026,False
DEN - LGA,711,152.0,21.37834,False
DEN - MSP,1978,337.0,17.03741,False
DEN - SLC,653,89.0,13.629402,False
DFW - ATL,3997,592.0,14.811109,False
DFW - SLC,796,87.0,10.929648,False
DSM - ATL,992,110.0,11.08871,False
DTW - ATL,3804,526.0,13.827551,False
DTW - BDL,1297,183.0,14.109484,False
